,coef,std_err,z_value,p_value,CI_lower,CI_upper,OR,OR_CI_low,OR_CI_high
const,-2.945809672849478,0.4537076151984821,-6.492749017582136,8.428404027908509e-11,-3.835060258150061,-2.0565590875488953,0.05255948659413082,0.021600036852697707,0.12789328323269036
office_count,-0.009053748021721736,0.01969980346279598,-0.4595857029142535,0.6458136232336533,-0.0476646533113193,0.029557157267875826,0.9909871137445361,0.9534534709363367,1.029998305678515
residential_count,-0.020450320140181746,0.011282015383904087,-1.8126477800551457,0.06988616342063246,-0.04256266396566059,0.0016620236852970954,0.9797573694742453,0.9583304108553775,1.0016634056121547
mall_count,0.3818655135342975,0.08590729213268414,4.445088467513384,8.785570656126966e-06,0.21349031494487544,0.5502407121237195,1.465015047187891,1.2379915081940231,1.7336702831006547
metro_station_count,0.21039089812504289,0.36662305317485194,0.5738616170017603,0.5660614485694415,-0.5081770819997801,0.9289588782498658,1.2341603966634023,0.6015912313508954,2.531871818131511
dist_to_nearest_luckin,-2.6193881319739436,0.4707986736481503,-5.5637117914472585,2.640959884861906e-08,-3.5421365762935446,-1.6966396876543424,0.07284742220224323,0.02895140407053208,0.18329843031389645
dist_to_nearest_starbucks,0.4659376395064592,0.20862346249458852,2.2333904055424503,0.02552321033750596,0.05704316668702297,0.8748321123258955,1.5935076243280653,1.0587015100458765,2.39847258617931
dist_to_nearest_metro_exit,0.38114114174926705,0.21962905583614015,1.735385786266946,0.08267249597492096,-0.04932389764810419,0.8116061811466383,1.4639542158875807,0.9518727704111462,2.251521435253702
