lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.09561680436344,24.464120109977138,1,瑞幸咖啡,5,59,2,1,634.5124380615532,954.8892281150855,40.22708764900295
118.07422218330612,24.465987337283643,1,luckin coffee 瑞幸咖啡(禾祥首府店),28,72,2,0,172.84799702010872,417.3580250809279,1287.4004661260153
118.11831881376408,24.488989158674077,1,瑞幸咖啡(长青路店),28,40,2,1,347.34565077538116,478.6534200207012,227.49759118438493
118.1256938288022,24.49548640824179,1,瑞幸咖啡(江头西路店),31,44,4,1,12.515878927898394,390.3347491718844,291.99974469562557
118.09685386570727,24.473876958139062,1,瑞幸咖啡(厦门地铁大厦店),14,35,1,1,190.5806691671784,196.94260116159043,267.57387243925524
118.07396052182352,24.462960025762914,1,瑞幸咖啡(银行中心店),22,72,2,0,138.3689923989757,89.9079452051639,1092.7669942307384
118.0715992583575,24.456078936613622,1,瑞幸咖啡(中山路旗舰店),11,29,5,0,153.60162913099114,64.68582533175262,656.3262807662273
118.07700583692254,24.45582931261105,1,瑞幸咖啡(中华城店),17,56,14,1,136.91555070871718,96.31995293020158,245.25906394448157
118.10928693039772,24.494351398843445,1,luckin coffee 瑞幸咖啡(厦门筼筜天虹购物中心店),24,26,2,0,290.9828105141201,108.99581814931823,605.3647461619562
118.0718209427058,24.486488902965103,1,瑞幸咖啡(港航大厦店),11,16,0,1,782.3074611717448,265.37671963008853,79.78779628005982
118.08070217048504,24.467320006673912,1,瑞幸咖啡(斗西路美食街店),29,71,0,0,10.83570071697222,628.1282258675008,979.3662926633566
118.07167152041032,24.49355212172445,1,瑞幸咖啡(海上世界购物中心店),8,9,2,0,224.82277469982793,98.58595460506601,562.3686231558604
118.1060484011212,24.492468156185396,1,瑞幸咖啡(厦门五一广场店),16,23,2,0,388.8344808340324,212.06696347238253,506.4248456000803
118.11717426483136,24.486032579199946,1,瑞幸咖啡(莲花路口店),27,44,3,1,111.10739737857796,215.8832127556896,52.69169507741828
118.0745461749342,24.46408872925593,1,瑞幸咖啡(厦门东方时代广场店),25,75,2,0,82.04615025242697,208.20039996083779,1148.0743567199434
118.10540109936784,24.47330276288449,1,瑞幸咖啡(禾祥东路万象城店),29,65,7,2,284.448556993315,166.16565504781929,311.5021543988579
118.09757045453365,24.47228581495695,1,瑞幸咖啡(文灶宝龙天地店),20,44,1,1,190.5806691671784,49.697304817980516,83.11728053527504
118.12656563014562,24.52057888292786,1,瑞幸咖啡(厦门创新创业园店),14,8,0,0,923.2875529970368,1498.9177535057954,634.8772952535605
118.09159889120075,24.49105146041494,1,瑞幸咖啡(七星大厦店),15,25,1,0,233.17709529743908,198.12178031420572,640.4450649682761
118.11717226243952,24.486023575870867,1,瑞幸咖啡(莲花路口店),27,44,3,1,110.4328663037231,214.90880598800604,52.01825087361914
118.08559553517509,24.516752245150823,1,瑞幸咖啡(自贸金融中心店),18,1,0,0,252.78619542592475,711.4592539524281,1708.568858843482
118.13601703637342,24.49809706789968,1,luckin coffee 瑞幸咖啡(新景华府店),7,51,0,1,407.23917318888397,1368.032718073926,376.6029903381712
118.0796480397082,24.457609883151523,1,luckin coffee 瑞幸咖啡(古城东路店),19,69,12,0,332.57712245956037,302.9736687390962,419.1702383806205
118.12540971692958,24.47587298738508,1,瑞幸咖啡(浦南壹里店),4,35,0,0,445.62378621083417,1235.3416874080795,1214.3777197693976
118.0871347499054,24.46122827224986,1,瑞幸咖啡(深田国际大厦店),13,37,1,1,561.9574800742269,1084.7851688485177,276.39851874061895
118.10419822691135,24.524244495882794,1,瑞幸咖啡(鹭港万达广场店),13,10,2,0,683.8085658849018,94.10499674638926,686.7913566954237
118.11416774724493,24.51573406264058,1,瑞幸咖啡(嘉禾新天地店),30,35,1,1,279.67555905948154,819.732866318574,48.91212437107458
118.1129907584999,24.479061761751407,1,瑞幸咖啡(莲坂外图店),30,65,4,1,158.16746331236794,402.6465632822357,62.9474613020783
118.07792469185944,24.454067337711805,1,瑞幸咖啡(镇海路店),11,48,12,1,216.20621243555183,133.62338745347375,29.26503619914315
118.07611307405826,24.456757149245227,1,瑞幸咖啡(厦门中山路步行街店),12,59,14,1,136.91555070871718,144.25281847881078,378.43748250565756
118.10826303649965,24.517828942976678,1,瑞幸咖啡(豪利思城店),30,39,0,0,641.6498196113033,818.2412455221654,501.0211406593684
118.09940361368425,24.488471850738275,1,瑞幸咖啡(宏泰中心店),20,15,0,2,218.04448236464532,634.8364821265409,63.70203783710818
118.19045065080306,24.48835586129374,1,luckin coffee 瑞幸咖啡(厦门雀氏财富中心店),37,8,1,1,87.19455263444115,1028.7437602337966,249.4765939999891
118.06867397811494,24.458799458924773,1,瑞幸咖啡(厦门轮渡店),13,13,2,0,210.46039815651153,387.8929895313036,1072.5661146814061
118.11210795359491,24.473851199526525,1,瑞幸咖啡(华夏大酒店店),24,50,5,1,275.62657628688174,208.80215209451066,275.57863000741037
118.11622688114798,24.48552760616586,1,luckin coffee 瑞幸咖啡(磐基名品中心店),23,44,3,1,110.4328663037231,134.48592457264857,9.817543247452718
118.10106293404942,24.474697143347804,1,瑞幸咖啡(皇达大厦店),9,57,2,0,436.1522945174381,395.49993554258504,296.8015704492902
118.1154559654314,24.4825404298245,1,瑞幸咖啡(新景中心店),22,49,7,2,333.2752914931988,209.272377483289,285.6687014689556
118.08962002054643,24.46576455062335,1,瑞幸咖啡(海翼大厦店),15,55,3,0,561.9574800742269,706.3312835297046,539.5262420516195
118.07384846639518,24.464464389904855,1,瑞幸咖啡(亿力大厦店),26,68,2,0,82.04615025242697,253.2205151044735,1230.0563941591479
118.12227021078095,24.503681521083717,1,瑞幸咖啡(厦门SM一期城市广场店),11,33,12,1,277.20259566766185,90.29682684165445,147.12330337795981
118.0679643768207,24.460585573591057,1,瑞幸咖啡(厦门财富中心店),7,15,1,0,210.46039815651153,592.4726079930101,1255.3596052410173
118.11177388485201,24.44079986598817,1,瑞幸咖啡(厦大学生公寓店),0,27,0,0,26.024716594507325,679.9993178672308,3003.1180792861924
118.10832161346484,24.49682613439636,1,瑞幸咖啡(厦门悦享中心店),22,26,2,0,290.9828105141201,277.00767023562696,892.8356537491042
118.10900528055944,24.470853464530258,1,瑞幸咖啡(厦门禹悦汇店),27,30,8,1,189.83260631727953,66.09373408016806,34.01277354135378
118.08410804107757,24.43881601381482,1,瑞幸咖啡(厦门双子塔大师店),6,30,4,1,423.79016294837425,38.321635776414986,1714.2980948111642
118.08734591032632,24.51512551710335,1,瑞幸咖啡(厦门口岸联检中心店),31,4,0,0,252.78619542592475,525.2867844985444,1471.6756037410455
118.06738574127671,24.447831852817327,1,瑞幸咖啡(鼓浪屿三友百货店),0,11,1,0,925.9488775617593,115.2287243354486,1128.596668834204
118.0916703893796,24.51231145164989,1,瑞幸咖啡(海峡设计文创园店),39,20,0,0,537.666038015673,167.91739765727846,952.4944970180434
118.1034403874109,24.470108286494423,1,瑞幸咖啡(厦禾路金榜公园站店),27,54,3,0,351.787579196525,464.9688024674461,425.99243088615964
118.0807178801519,24.471326688087164,1,瑞幸咖啡(厦门禹洲广场店),17,35,1,0,432.9460096024175,486.95999068105436,1024.2325404058056
118.11539128849626,24.476726427695535,1,瑞幸咖啡(京华大酒店店),36,56,4,1,224.5761518467302,261.7274627410178,265.0348381028402
118.07538870127462,24.451862801747478,1,瑞幸咖啡(厦门第一广场店),7,27,4,1,354.5119405127199,405.15625856460366,203.29345775989242
118.09840274694815,24.49021487023244,1,luckin coffee 瑞幸咖啡(岳鹭广场店),22,22,0,2,218.04448236464532,687.1353410782073,135.51235435328255
118.09224360997932,24.47084217017431,1,luckin coffee 瑞幸咖啡(聚祥广场店),11,76,0,0,563.060233685815,612.5138857490176,611.5812070704502
118.08142116995134,24.480043755431215,1,瑞幸咖啡(官任国际社区店),17,30,1,1,828.8729864368185,317.66094199358383,221.44697587912307
118.09511176820341,24.51619598298745,1,瑞幸咖啡(联发华美空间店),33,32,0,0,553.7295824007273,385.98316177280526,900.843275537007
118.1516476057078,24.52845212213155,1,瑞幸咖啡(嘉园大厦店),64,30,0,1,101.58511907287472,814.5487123003976,234.35673437173773
118.1774921510541,24.511524198433076,1,瑞幸咖啡(海西金融广场店),25,20,2,0,300.947375530453,237.85348368694866,752.587409418408
118.1817585759033,24.511450978929393,1,瑞幸咖啡(万科云玺店),20,9,1,1,299.9524438968456,302.4499861154744,461.4895924233873
118.1245700227932,24.492452585063297,1,瑞幸咖啡(同亨大厦店),29,41,4,1,279.6192119644846,266.31098083737595,57.25974374679937
