id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
B0250040AL,金龙花园,商务住宅;住宅区;住宅小区,120302,长青路89号(莲花路口地铁站3号口步行460米),思明区,118.122755,24.487591,"118.122755,24.487591",118.11780492667695,24.490249841815366
B0KRKU9K51,长青综合楼,商务住宅;住宅区;住宅小区,120302,常明路与莲岳路辅路交叉口东160米,思明区,118.120867,24.485252,"118.120867,24.485252",118.11591424943151,24.487908688381737
B0FFHKFL6Y,包印宿舍,商务住宅;住宅区;宿舍,120303,常明路与长青路交叉口西南160米,思明区,118.121991,24.48563,"118.121991,24.485630",118.11703989969202,24.488287800226097
B02500QG9R,怡祥大厦,商务住宅;住宅区;住宅小区,120302,长青北里106号,思明区,118.119439,24.487818,"118.119439,24.487818",118.11448400494761,24.49047380789741
B02500QASY,松柏嘉园,商务住宅;住宅区;住宅小区,120302,长青路430-480号,思明区,118.121627,24.488906,"118.121627,24.488906",118.11667511586451,24.491563953242867
B025002UA0,怡祥花园,商务住宅;住宅区;住宅小区,120302,长青北里98-99号,思明区,118.119949,24.488611,"118.119949,24.488611",118.11499467455589,24.491267374257053
B0MAHLMMV6,长青路178号之一,商务住宅;住宅区;住宅小区,120302,常明路与莲岳路交叉口东180米,思明区,118.121025,24.485025,"118.121025,24.485025",118.11607249857772,24.48768179871562
B02500Q8QO,新港龙花园,商务住宅;住宅区;住宅小区,120302,莲坂社莲岳路18-24,思明区,118.120286,24.484633,"118.120286,24.484633",118.11533244604182,24.487289065748627
B0250042A3,华天花园,商务住宅;住宅区;住宅小区,120302,嘉禾路233-259号,思明区,118.122777,24.48488,"118.122777,24.484880",118.11782715529371,24.487538447721594
B02500416S,利海苑,商务住宅;住宅区;住宅小区,120302,莲岳路92-98号(育秀东路地铁站5号口步行400米),思明区,118.118715,24.486644,"118.118715,24.486644",118.1137590755753,24.48929901177127
B0250043Q3,莲坂小区,商务住宅;住宅区;住宅小区,120302,嘉滨路(吕厝地铁站3号口步行340米),思明区,118.124282,24.487326,"118.124282,24.487326",118.11933434567754,24.48998634430585
B0250040H1,污水宿舍,商务住宅;住宅区;宿舍,120303,莲岳路100号之1-3,思明区,118.118389,24.487419,"118.118389,24.487419",118.1134325702783,24.49007385840244
B025003YJV,英皇湖畔花苑,商务住宅;住宅区;住宅小区,120302,湖滨北路175-177号,思明区,118.123444,24.489004,"118.123444,24.489004",118.11849489732572,24.491663741879563
