,coef,p_value,OR,OR_CI_low,OR_CI_high
const,-2.854112210123477,1.2568411517184424e-46,0.05760694128484054,0.03899792806318233,0.08509579480270119
office_count,0.08180751689273803,1.5070380016123338e-13,1.0852468980291188,1.061943247290872,1.1090619321573119
residential_count,-0.006796750964397325,0.2656953160175777,0.9932262947059853,0.9814096486275138,1.0051852189093349
mall_count,0.12673008899573465,0.00427104212827226,1.1351105975889082,1.0406059507961491,1.2381978670916292
metro_station_count,0.16265797924753353,0.3858556329723545,1.176634187550145,0.8146601406713095,1.6994424327314428
dist_to_nearest_luckin,-0.15224177739590555,0.3726401766978761,0.8587806218961115,0.6145094553729041,1.2001510311940289
dist_to_nearest_starbucks,-0.4713023694298706,0.003968366157244002,0.6241888142586958,0.45295167873640846,0.8601616775824072
dist_to_nearest_metro_exit,0.16088458567593444,0.23588192887399007,1.1745494011655806,0.900200262725513,1.5325104345132572
