id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
B0FFH1PAIA,五石商务中心,商务住宅;楼宇;商务写字楼,120201,岐山北路766号3号楼石楼梯上来,湖里区,118.157014,24.537797,"118.157014,24.537797",118.1521309178385,24.54051230875179
B0MBKHQ74U,世界头条,商务住宅;楼宇;商务写字楼,120201,五石商务中心3号楼右侧石梯,湖里区,118.157602,24.53746,"118.157602,24.537460",118.15272037401536,24.54017633749746
B0JB31IVBV,巨岸大厦,商务住宅;楼宇;商务写字楼,120201,第二东通道与环岛干道辅路交叉口西140米,湖里区,118.156672,24.537956,"118.156672,24.537956",118.15178807548676,24.540670708383196
B0L0YC7I9V,五石商务中心1号楼210室,商务住宅;楼宇;商务写字楼,120201,五石商务中心1号楼,湖里区,118.156675,24.537925,"118.156675,24.537925",118.15179108498386,24.540639710589115
B0FFKEGH6O,中绿大厦,商务住宅;楼宇;商务写字楼,120201,枋钟路2360号金山财富广场1号楼,湖里区,118.154067,24.538103,"118.154067,24.538103",118.14917678666792,24.540813073703855
B02500TDFT,萤火虫大厦,商务住宅;楼宇;商务写字楼,120201,湖里创新园,湖里区,118.15256,24.535127,"118.152560,24.535127",118.14766641274527,24.53783411532696
B0FFGA7OXL,厦门亿联研发大楼,商务住宅;楼宇;商务写字楼,120201,禾山街道岭下北路1号厦门亿联研发大楼5楼,湖里区,118.15456,24.532339,"118.154560,24.532339",118.14967137937613,24.53504933699096
B0MDT7CME6,厦门电业局变电检修楼,商务住宅;楼宇;商务写字楼,120201,护安路与岐山北路交叉口西80米,湖里区,118.153325,24.533675,"118.153325,24.533675",118.14843333277483,24.536383300384454
B0FFHNLKOR,输变电楼,商务住宅;楼宇;商务写字楼,120201,湖里创新园,湖里区,118.152558,24.533876,"118.152558,24.533876",118.14766449743894,24.53658297860733
B0FFHPBNPF,设计公社2.0,商务住宅;楼宇;商务写字楼,120201,岭下西路273号,湖里区,118.155837,24.531592,"118.155837,24.531592",118.15095150749008,24.534304532382656
B0I65ZB8MV,亿联网络总部大楼,商务住宅;楼宇;商务写字楼,120201,护安路666号,湖里区,118.15512,24.530936,"118.155120,24.530936",118.15023282515291,24.53364717949019
B0FFH8D7YV,唯自然大厦,商务住宅;楼宇;商务写字楼,120201,岭下西路265号,湖里区,118.156144,24.530814,"118.156144,24.530814",118.15125930557696,24.53352699753223
B02500UOXK,新捷创(厦门)营运中心,商务住宅;楼宇;商务写字楼,120201,禾山街道护安路707号新捷创运营中心503室,湖里区,118.154092,24.530739,"118.154092,24.530739",118.14920237268657,24.533448333086447
B0FFHWQ7E3,中恒基大厦,商务住宅;楼宇;商务写字楼,120201,岐山北路与云顶北路交叉口西100米,湖里区,118.150953,24.533047,"118.150953,24.533047",118.14605577751398,24.53575110769221
B0L1778WJ6,创享天地E馆,商务住宅;楼宇;商务写字楼,120201,钟岭路88号创享天地,湖里区,118.159725,24.531875,"118.159725,24.531875",118.15484897635694,24.534594615097202
B0L1H1YA6Q,联想大厦6栋,商务住宅;楼宇;商务写字楼,120201,岐山北二路与云顶北路交叉口西80米,湖里区,118.150672,24.534497,"118.150672,24.534497",118.14577401671266,24.53720078034966
