lon_wgs84,lat_wgs84,case,pred_proba,pearson_residual,lisa_raw,lisa_fdr,lisa_p_sim,lisa_q
118.09561680436344,24.464120109977134,1,0.0976697496277226,3.039504014981346,ns,ns,0.202,4
118.0742221833061,24.46598733728365,1,0.2845356682379309,1.5857168316367962,ns,ns,0.488,4
118.11831881376408,24.48898915867408,1,0.3442711147327649,1.3801041589730787,ns,ns,0.414,1
118.12569382880218,24.4954864082418,1,0.4053751711909041,1.2111360942459537,ns,ns,0.401,1
118.09685386570726,24.47387695813907,1,0.2187203119246316,1.889986527949023,ns,ns,0.238,4
118.07396052182352,24.46296002576291,1,0.2776319686183552,1.6130377178318338,ns,ns,0.277,1
118.0715992583575,24.456078936613626,1,0.2529836409690726,1.7183785265200335,HH,ns,0.043,1
118.07700583692254,24.455829312611048,1,0.5490047671116424,0.9063541296869602,ns,ns,0.182,1
118.10928693039772,24.494351398843445,1,0.3382637673829893,1.3986682503995975,ns,ns,0.472,4
118.0718209427058,24.486488902965107,1,0.2243362637786141,1.8594606943915997,ns,ns,0.194,1
118.08070217048504,24.467320006673912,1,0.2024468097684066,1.984834771644756,ns,ns,0.302,4
118.07167152041032,24.493552121724452,1,0.1855795173443992,2.0948808337284888,ns,ns,0.167,1
118.1060484011212,24.492468156185396,1,0.2436421688446188,1.7619250311681591,HL,ns,0.008,4
118.11717426483136,24.486032579199954,1,0.37923425961309,1.2794110231437266,ns,ns,0.383,1
118.0745461749342,24.464088729255938,1,0.279573434064918,1.605265636905745,ns,ns,0.271,1
118.10540109936784,24.473302762884497,1,0.5764201589020889,0.8572313811936468,HL,ns,0.004,4
118.09757045453364,24.472285814956955,1,0.2970777887696705,1.5382203122649327,ns,ns,0.239,4
118.12656563014562,24.520578882927857,1,0.0891624005860865,3.1961679967955745,ns,ns,0.228,4
118.09159889120076,24.491051460414944,1,0.2056328669259044,1.965460717370245,ns,ns,0.324,4
118.11717226243952,24.48602357587087,1,0.3793593514340004,1.2790711724529078,ns,ns,0.383,1
118.08559553517507,24.516752245150823,1,0.1644901421967893,2.2537505781184044,ns,ns,0.253,4
118.1360170363734,24.49809706789968,1,0.0583276461232692,4.018025466468136,HH,ns,0.016,1
118.0796480397082,24.45760988315152,1,0.4415077879616201,1.1247069436185384,ns,ns,0.483,4
118.1254097169296,24.47587298738508,1,0.0523643735632282,4.25405140618253,ns,ns,0.268,1
118.0871347499054,24.461228272249866,1,0.1213698866776378,2.6905902783455393,ns,ns,0.097,4
118.10419822691134,24.52424449588279,1,0.2744398879386295,1.625972076284396,ns,ns,0.06,4
118.11416774724492,24.515734062640583,1,0.2702876931382588,1.6430950965517137,ns,ns,0.096,4
118.1129907584999,24.479061761751407,1,0.3881239837526232,1.2555860301796065,ns,ns,0.29,4
118.07792469185944,24.454067337711805,1,0.4252375678916706,1.162594794630395,ns,ns,0.197,1
118.07611307405826,24.456757149245224,1,0.472133743690898,1.0573759543688426,ns,ns,0.265,1
118.10826303649964,24.51782894297667,1,0.2499760724333481,1.7321613313175417,HL,ns,0.01,4
118.09940361368425,24.48847185073828,1,0.2314554329958967,1.8222201244545544,ns,ns,0.274,4
118.19045065080306,24.488355861293748,1,0.305158251148327,1.5089692637182466,ns,ns,0.105,1
118.06867397811494,24.45879945892477,1,0.185507953549877,2.0953769232409876,ns,ns,0.163,1
118.11210795359491,24.47385119952652,1,0.4106144726731046,1.1980711418115164,HL,ns,0.026,4
118.116226881148,24.48552760616586,1,0.3479517901342717,1.3689270835338163,ns,ns,0.447,1
118.10106293404942,24.474697143347804,1,0.1452324837895603,2.4260074055279146,ns,ns,0.255,4
118.1154559654314,24.482540429824507,1,0.4943094277680037,1.011446653155122,ns,ns,0.423,1
118.08962002054643,24.465764550623355,1,0.1729629217929136,2.1866837811218076,ns,ns,0.42,4
118.07384846639518,24.464464389904855,1,0.2872533087223076,1.5751977581977958,ns,ns,0.246,1
