lon_wgs84,lat_wgs84,case,intercept,coef_office_count,tval_office_count,coef_residential_count,tval_residential_count,coef_mall_count,tval_mall_count,coef_dist_to_nearest_luckin,tval_dist_to_nearest_luckin,coef_dist_to_nearest_starbucks,tval_dist_to_nearest_starbucks,coef_dist_to_nearest_metro_exit,tval_dist_to_nearest_metro_exit
118.09561680436344,24.464120109977134,1,-2.758325484826825,0.05126203688406884,1.9392111090462556,0.0025989421540769213,0.2601006094150751,0.07334324244950433,1.1492307653505476,-0.19389977751363074,-0.5122740393478699,-0.8222295223369995,-1.7473576317774153,0.08936265280636838,0.42195180959475087
118.07422218330612,24.465987337283643,1,-2.714753568716941,0.02754204860415008,1.132997597430117,0.00217420563442174,0.22115145763554395,0.051617421234834024,0.7874801354383381,-0.19343476990381556,-0.5043921640669641,-1.332890427869987,-2.641847576069227,-0.021039484604783193,-0.08842054501229459
118.11831881376408,24.488989158674077,1,-4.426016400219121,0.0908088170893381,3.443932183049137,0.04023239337880421,2.5460650687301905,0.0980668018021347,1.2692812152226445,-0.14225201141519325,-0.29262808651026945,0.13778699079142837,0.32880379444976904,-0.01756351024573838,-0.02401607571932657
118.1256938288022,24.49548640824179,1,-5.058200590883356,0.08629890851548876,3.1908684744140716,0.06515239258885669,3.0640716779582418,0.11504600419402732,1.3407268137478023,0.4315883396165142,0.9380602545754381,0.23354853890770233,0.5752684714634219,-0.1655569792055,-0.2268788130524149
118.09685386570727,24.473876958139066,1,-3.584148902689786,0.07573759752929492,2.7025434807316486,0.008108962253505818,0.7465782742844598,0.05602910952251018,0.8528771624510426,0.012963727333178465,0.030313962141841923,-0.79112159738417,-1.4774253284914012,-0.4021865713750527,-0.8415946822642829
118.07396052182352,24.46296002576291,1,-2.6550613335416626,0.02563861335639901,1.0338472963577652,0.0021582765907260833,0.2183255620162727,0.0525263795677791,0.800824401536938,-0.204176892585321,-0.5404715064205953,-1.3010252384024112,-2.6156953913233454,-0.016777830801951193,-0.0764877387124124
118.0715992583575,24.456078936613626,1,-2.552393261547953,0.01999284666607904,0.7692961816309891,0.002466359713330854,0.24499900615259693,0.052019013413368745,0.7881899100870956,-0.206761197078287,-0.5579028171727064,-1.2847944651679626,-2.6140907945749037,-0.03400323670121244,-0.17002028382300843
118.07700583692254,24.45582931261105,1,-2.5436835967676776,0.022224912283773927,0.8454266030117225,0.002532587693850625,0.2512938014757626,0.055280854547673224,0.843695465311709,-0.20390405490463775,-0.5569479357435133,-1.2205304172894513,-2.5189073338412573,-0.023853557923067495,-0.12160283311339597
118.10928693039772,24.494351398843445,1,-4.518088410954223,0.07311255372645634,3.462067139551717,0.028019939684398927,1.9001610555896293,0.0745412729176466,1.007947569693629,-0.182045790021983,-0.3768072681148361,-0.6419847954935596,-1.3948270121820547,-0.48054626213961615,-0.6854379377212493
118.0718209427058,24.486488902965103,1,-3.476817765566464,0.03467476217428868,1.6335507394069524,0.006309398772767559,0.6473729556846947,0.03375756532070425,0.5166610172523534,-0.03621201593826648,-0.08418924714843681,-1.6766597684268718,-3.0239040510074076,-0.4941881820890557,-1.093650330229123
118.08070217048504,24.467320006673912,1,-2.7638994387080658,0.034230328660432754,1.3870237196555866,0.002239406703863008,0.22713863055882888,0.05584749228102066,0.8616286760348016,-0.1818806736061582,-0.4744815687344953,-1.2423634592648178,-2.4760793479459173,-0.005382764750160807,-0.021929894699993263
118.07167152041032,24.49355212172445,1,-3.54290464820188,0.03525823919624513,1.6206306246302244,0.006014228359890291,0.6008391061082676,0.03584013656100821,0.5441201634403608,0.04410979812281354,0.09927819880963136,-1.7608228647413895,-3.076451861623965,-0.47978884157478774,-1.0158871314605704
