,coef,p_value,OR,OR_CI_low,OR_CI_high
const,-2.5650766053623877,5.786760831268358e-42,0.07691328924575537,0.05310539473090713,0.11139459733943642
office_count,0.052292843238168664,4.311304260450766e-10,1.0536842616484772,1.0365251644164908,1.0711274181854613
residential_count,-0.003275905895986764,0.5643637698443575,0.9967294540292653,0.9856877219935202,1.007894876198943
mall_count,0.10120184867530235,0.01377652799736205,1.1064999647760503,1.0208855317291314,1.1992942734487215
metro_station_count,0.20767047810062372,0.24860433059895937,1.2308075246848045,0.8649214466697756,1.7514736958524224
dist_to_nearest_luckin,0.18473226214629837,0.2000469707927559,1.2028963361266425,0.906811340406078,1.5956567049756338
dist_to_nearest_starbucks,-0.5517794208543685,0.00038946099377691677,0.5759240867236536,0.42457558951866375,0.7812237958487106
dist_to_nearest_metro_exit,0.06297051434190587,0.6179400793458298,1.0649954366770276,0.8315389465282912,1.3639953785427459
