lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_starbucks,dist_to_nearest_luckin,dist_to_nearest_metro_exit
118.0926647231397,24.51352456511448,星巴克(厦门湖里大道店),1,46,20,0,0,691.7319343838343,167.91739765727846,908.1059256616938
118.0855008254812,24.470909468374767,星巴克,1,18,68,3,0,902.1497664596538,13.116798143979723,1218.6655167750303
118.09085672958366,24.48939627256643,星巴克(厦门思明欢乐颂分店),1,17,24,1,0,1456.975191528757,38.97636936108827,693.2782135915965
118.07086603947464,24.493052838935306,星巴克(厦门海上世界店),1,7,4,2,0,939.5917903159168,98.58595460506601,523.5801075870104
118.08015152629127,24.477421030947887,星巴克臻选(厦门筼筜路店),1,15,26,1,1,902.1497664596538,317.66094199358383,350.15398586996116
118.1065862802662,24.47433957642,星巴克(厦门万象城店),1,23,64,8,2,357.129645799985,166.16565504781929,204.6730123254964
118.0745637585401,24.46977070636296,星巴克臻选(厦门帝景苑分店),1,12,31,0,0,0.0,420.3866831527028,1226.2938419002448
118.10840058572336,24.470630035391892,星巴克(厦门禹悦汇店),1,27,31,7,1,95.95626641729378,66.09373408016806,76.36361825091316
118.15731915388554,24.51939139050396,星巴克(厦门湾悦城店),1,6,22,1,0,554.191600340456,123.50468100538497,851.143494833587
118.0715434037689,24.454510699494033,星巴克臻选(厦门鹭江道店),1,11,20,4,0,174.47685427154207,173.75362585061586,586.859558023526
118.12015280502531,24.50199296169314,星巴克(厦门SM新生活广场店),1,10,29,12,1,42.08888212827479,7.969814320687794,74.01317679755415
118.12234905754823,24.493738179706387,星巴克(厦门汇腾天虹广场分店),1,30,39,3,1,718.6171953769825,71.06191973288965,81.28923276072405
118.11323034406924,24.475432359101887,星巴克(厦门双涵分店),1,39,61,5,1,684.1643800700435,187.7348123710744,327.6046792528309
118.0781145550494,24.455261431272092,星巴克臻选(厦门中华城分店),1,15,55,14,1,200.47181361800762,128.78257735324507,155.61081659258238
118.08380104827312,24.438614099331804,星巴克(演武路分店),1,6,28,4,1,591.4404665544693,38.321635776414986,1722.0489128842498
118.1161678808437,24.484314360750265,星巴克臻选(厦门磐基中心店),1,20,45,6,1,732.7190053110522,134.4859245726486,81.32411929635599
118.0745637585401,24.46977070636296,星巴克(帝景苑店),1,12,31,0,0,0.0,420.3866831527028,1226.2938419002448
118.07096764268704,24.455995541550216,星巴克(厦门中山路分店),1,11,25,4,0,174.47685427154207,64.68582533175262,706.5542080982083
118.1556424463309,24.513255520298923,星巴克(天虹购物中心五缘湾店),1,8,11,3,0,172.03893949410178,129.5414443928249,1367.7174842146756
118.07432440799134,24.462219582666833,星巴克(源通中心店),1,20,67,3,0,768.6395143650867,89.9079452051639,1002.9266875718087
118.10515959920303,24.49073442918452,星巴克(体育路分店),1,9,13,1,1,503.88772668418176,212.06696347238253,335.4877337885567
118.18075396511702,24.485607435824747,星巴克(厦门软件园分店),1,9,12,0,1,909.8921871011019,100.60377126402604,229.31301216708792
118.17228958524582,24.506427823992393,星巴克(厦门湖里万达广场店),1,16,17,2,0,440.4374669182785,92.72067100639569,1513.2408850838563
118.15572211084542,24.53479323782303,星巴克(厦门钟岭路分店),1,40,16,1,0,1713.2630619626232,253.03434627633558,427.71005591622486
118.1299795190002,24.48704771008409,星巴克(厦门象屿龙山汇分店),1,12,25,0,0,743.6362536402502,514.2367451225883,826.3853775594403
118.0761481550069,24.45545488156645,星巴克(老虎城分店),1,15,53,14,1,200.47181361800762,96.31995293020158,262.15402438162437
118.15111417710496,24.488259757288453,星巴克(吕岭路店),1,5,9,3,1,1222.2189123712528,26.181279480702287,214.27340729797726
118.15520889274735,24.47787852448534,星巴克(瑞景商业广场店),1,7,23,5,0,1222.2189123712528,58.18072996251721,1169.0744469420765
118.15523633927717,24.5147639697782,星巴克(厦门金湖路分店),1,10,13,4,0,172.03893949410178,55.48059931108447,1196.5452069598837
118.1082116657294,24.494326698023976,星巴克(天虹购物中心厦门筼筜店),1,22,25,2,0,503.88772668418176,108.99581814931823,628.7051957180341
118.13891209661932,24.528616511692434,星巴克(厦门火炬新科广场店),1,11,25,0,0,1584.1697124617483,46.6781920601928,706.504268632241
118.12593532390338,24.53659893244817,星巴克(厦门高崎国际机场店),1,8,3,0,0,1584.1697124617483,149.2229436412104,1394.5265904452092
118.12264502824866,24.487254532201305,星巴克(厦门磐基莲花里分店),1,22,42,4,1,718.6171953769825,478.6534200207012,383.12077986298715
118.1845957485322,24.477875084540003,星巴克(厦门COCOPark店),1,19,10,6,0,238.19643589433983,80.16075464400276,692.2026776410202
118.10471468856878,24.524950826412717,星巴克(厦门万达鹭港分店),1,12,8,2,0,1287.425808690245,94.10499674638926,608.4399251977652
118.11003410496184,24.43486939351334,星巴克(厦门思明软件园一期店),1,12,15,0,0,678.2133109277923,76.13991164314963,3479.5994630091127
118.11619863803756,24.432490916718688,星巴克(厦门龙虎山路分店),1,1,6,0,1,678.2133109277923,668.2436002818957,4017.44654908298
118.16900157327528,24.48901711205536,星巴克臻选厦门宝龙一城分店,1,17,13,3,1,373.71401319191665,102.9206479532792,112.98014679806312
118.12194660704154,24.504441261912316,星巴克(SM城市广场1期店),1,10,31,12,1,214.8622831698308,90.29682684165445,218.9667507100147
118.17502418478152,24.509519355973534,星巴克厦门国贸金融中心分店,1,26,17,3,0,426.8874937702061,55.78848159206253,1084.2561043318567
118.09802375473932,24.47245693447391,星巴克(文灶地铁社区店),1,20,47,1,1,892.5126550995329,49.697304817980516,75.50522007910665
118.11985015944252,24.504149942949343,星巴克(厦门SM三期分店),1,8,21,11,1,214.8622831698308,239.26020225657487,224.3390463292098
