lon_wgs84,lat_wgs84,case,pred_proba,pearson_residual
118.09561680436344,24.464120109977134,1,0.0976697496277226,3.039504014981346
118.0742221833061,24.46598733728365,1,0.28453566823793097,1.5857168316367962
118.11831881376408,24.48898915867408,1,0.34427111473276495,1.3801041589730787
118.12569382880218,24.4954864082418,1,0.4053751711909041,1.2111360942459537
118.09685386570726,24.47387695813907,1,0.21872031192463165,1.8899865279490233
118.07396052182352,24.46296002576291,1,0.2776319686183552,1.6130377178318338
118.0715992583575,24.456078936613626,1,0.25298364096907267,1.7183785265200335
118.07700583692254,24.455829312611048,1,0.5490047671116424,0.9063541296869602
118.10928693039772,24.494351398843445,1,0.3382637673829893,1.3986682503995975
118.0718209427058,24.486488902965107,1,0.22433626377861413,1.8594606943915997
118.08070217048504,24.467320006673912,1,0.20244680976840668,1.984834771644756
118.07167152041032,24.493552121724452,1,0.18557951734439923,2.0948808337284888
118.1060484011212,24.492468156185396,1,0.2436421688446188,1.7619250311681591
118.11717426483136,24.486032579199954,1,0.37923425961309004,1.2794110231437266
118.0745461749342,24.464088729255938,1,0.279573434064918,1.605265636905745
118.10540109936784,24.473302762884497,1,0.5764201589020889,0.8572313811936468
118.09757045453364,24.472285814956955,1,0.29707778876967056,1.5382203122649327
118.12656563014562,24.520578882927857,1,0.08916240058608656,3.1961679967955745
118.09159889120076,24.491051460414944,1,0.20563286692590443,1.965460717370245
118.11717226243952,24.48602357587087,1,0.37935935143400046,1.2790711724529078
118.08559553517507,24.516752245150823,1,0.16449014219678934,2.2537505781184044
118.1360170363734,24.49809706789968,1,0.058327646123269225,4.018025466468136
118.0796480397082,24.45760988315152,1,0.4415077879616201,1.1247069436185384
118.1254097169296,24.47587298738508,1,0.052364373563228254,4.25405140618253
118.0871347499054,24.461228272249866,1,0.12136988667763787,2.6905902783455393
118.10419822691134,24.52424449588279,1,0.2744398879386295,1.6259720762843959
118.11416774724492,24.515734062640583,1,0.2702876931382588,1.6430950965517137
118.1129907584999,24.479061761751407,1,0.3881239837526232,1.2555860301796065
118.07792469185944,24.454067337711805,1,0.42523756789167066,1.162594794630395
118.07611307405826,24.456757149245224,1,0.472133743690898,1.0573759543688426
118.10826303649964,24.51782894297667,1,0.24997607243334813,1.7321613313175415
118.09940361368425,24.48847185073828,1,0.2314554329958967,1.8222201244545542
118.19045065080306,24.488355861293748,1,0.30515825114832706,1.5089692637182466
118.06867397811494,24.45879945892477,1,0.185507953549877,2.0953769232409876
118.11210795359491,24.47385119952652,1,0.41061447267310464,1.1980711418115164
118.116226881148,24.48552760616586,1,0.3479517901342717,1.3689270835338165
118.10106293404942,24.474697143347804,1,0.14523248378956033,2.4260074055279146
118.1154559654314,24.482540429824507,1,0.49430942776800374,1.011446653155122
118.08962002054643,24.465764550623355,1,0.1729629217929136,2.1866837811218076
118.07384846639518,24.464464389904855,1,0.28725330872230764,1.5751977581977958
