metric,value
AUC,0.883
Pseudo R² (McFadden),0.3583527457817903
AIC,224.15298101894263
AICc,224.56323742919903
BIC,255.24181327054387
Log-likelihood,-104.07649050947131
N obs,360.0
N cases,60.0
N controls,300.0
LLR p-value,4.618410566384473e-22
