,luckin_coef,luckin_se,luckin_p,luckin_OR,sb_coef,sb_se,sb_p,sb_OR,coef_diff,wald_z,wald_p,conclusion
office_count,0.081807516892738,0.011075017838462094,1.507038001612334e-13,1.0852468980291188,-0.0090537480217217,0.0196998034627959,0.6458136232336533,0.990987113744536,0.0908612649144597,4.020495451790572,5.80758706250073e-05,C1. 仅瑞幸显著
residential_count,-0.0067967509643973,0.006106414753559463,0.2656953160175777,0.9932262947059852,-0.0204503201401817,0.011282015383904,0.0698861634206324,0.9797573694742452,0.013653569175784402,1.0643096360932907,0.2871884541605887,D. 两家都不显著
mall_count,0.1267300889957346,0.04435045944788246,0.0042710421282722,1.1351105975889082,0.3818655135342975,0.0859072921326841,8.785570656126966e-06,1.465015047187891,-0.25513542453856286,-2.6389674608192784,0.008315896236152698,A. 同方向 强度差异显著
metro_station_count,0.1626579792475335,0.1875725700362135,0.3858556329723545,1.176634187550145,0.2103908981250428,0.3666230531748519,0.5660614485694415,1.2341603966634025,-0.0477329188775093,-0.11590716321012644,0.9077261185428491,D. 两家都不显著
dist_to_nearest_luckin,-0.1522417773959055,0.17075978857071267,0.3726401766978761,0.8587806218961115,-2.6193881319739436,0.4707986736481503,2.6409598848619063e-08,0.0728474222022432,2.467146354578038,4.9263156151211875,8.379460949559103e-07,C2. 仅星巴克显著
dist_to_nearest_starbucks,-0.4713023694298706,0.16360584653820184,0.003968366157244,0.6241888142586958,0.4659376395064592,0.2086234624945885,0.0255232103375059,1.5935076243280653,-0.9372400089363297,-3.535103438278529,0.0004076155627570355,B. 方向相反
dist_to_nearest_metro_exit,0.1608845856759344,0.13572582242188835,0.23588192887399,1.1745494011655806,0.381141141749267,0.2196290558361401,0.0826724959749209,1.463954215887581,-0.2202565560733326,-0.8531027329490141,0.3936023360032621,D. 两家都不显著
