,coef,OR,p_asymptotic,boot_CI_low,boot_CI_high,boot_sig
const,-3.170244329057633,0.04199333645758835,1.4006854060445366e-11,-4.792059671463386,-2.056048880990018,True
office_count,-0.006529842210067157,0.9934914308810824,0.7348711033068035,-0.03598162804464362,0.03245677538258135,False
residential_count,-0.015976303536170747,0.9841506406690351,0.15269106976671554,-0.04206438108307552,-0.005825118002853904,True
mall_count,0.3482803361381261,1.416629326474484,7.452400111990514e-06,0.2948076662427675,0.7434884189618456,True
metro_station_count,0.13348221398738552,1.142800940082414,0.7164551498094462,-1.129011077206234,0.802799248752133,False
dist_to_nearest_luckin,-2.5837573718937348,0.07548982712333217,4.4763094224927434e-08,-4.491303826961577,-1.5673504039299364,True
dist_to_nearest_starbucks,0.6808015071418982,1.9754604435225367,0.0016956628988071603,0.20804346238053567,2.1165760127778186,True
dist_to_nearest_metro_exit,0.2978774450923537,1.3469966967076292,0.1870506029850617,-1.317001282493902,0.820572373445654,False
brand,0.6015714785270423,1.8249844720400321,0.23494678033870164,-0.46084665579628264,1.922097898385719,False
brand_x_office_count,0.0588226854482358,1.0605871665284647,0.005141664748751544,0.009160068966169208,0.11207524188439703,True
brand_x_residential_count,0.012700397640183988,1.01278139020636,0.31093784050027107,-0.02229963040587647,0.05792061060259334,False
brand_x_mall_count,-0.24707848746282382,0.7810793861861932,0.00495310075618394,-0.6547104325956472,-0.12838632703983377,True
brand_x_metro_station_count,0.07418826411323808,1.0770095486586173,0.8561411521433641,-0.6181985424247327,1.2822342001587055,False
brand_x_dist_to_nearest_luckin,2.7661566973388756,15.897417860682502,2.046961633461162e-08,1.7308645790476904,5.571453905808798,True
brand_x_dist_to_nearest_starbucks,-1.222890505021699,0.29437803478337743,4.045071068070614e-06,-3.50201603802751,-0.5393085730590954,True
brand_x_dist_to_nearest_metro_exit,-0.23542127822376485,0.7902378694890092,0.3618390632130538,-0.7150770572995829,1.1499276080812133,False
