id,name,type,typecode,address,adname,longitude,latitude,location
B025004MDP,磐基大酒店有限公司,购物服务;商场;购物中心|公司企业;公司;公司,060101|170200,莲岳路1号2609单元,思明区,118.120490,24.482246,"118.120490,24.482246"
B0FFFRKM6B,PARAGON LOTUS 磐基莲花里,购物服务;商场;普通商场,060102,莲花北路与嘉莲里交叉口东南100米,思明区,118.127433,24.484334,"118.127433,24.484334"
B0FFFRL4YZ,建发·悦享中心,购物服务;商场;普通商场,060102,松岳路8号(仙岳路与莲岳路交汇处),思明区,118.112557,24.494345,"118.112557,24.494345"
B0FFG285FL,明发商业广场-北区,购物服务;商场;购物中心,060101,嘉禾路76号-之877号附近,思明区,118.123167,24.480185,"118.123167,24.480185"
B0250022G7,天虹商场(汇腾店),购物服务;商场;购物中心,060101,嘉禾路323号,思明区,118.127272,24.491451,"118.127272,24.491451"
B0FFFWC633,明发商业广场-中区,购物服务;商场;购物中心,060101,嘉禾路76-258(莲花路口地铁站2号口步行430米),思明区,118.123649,24.478779,"118.123649,24.478779"
B025002U89,菡菁商场,购物服务;商场;普通商场,060102,莲花北路8号之1号一层店铺117号,思明区,118.129803,24.485550,"118.129803,24.485550"
B02500421C,MALL OF LOTUS 摩尔莲花购物广场,购物服务;商场;购物中心,060101,香莲里28号(吕厝地铁站12号口步行200米),思明区,118.129750,24.488630,"118.129750,24.488630"
B0GU1RY1YB,天虹购物中心(厦门筼筜店),购物服务;商场;购物中心,060101,莲岳路221号,思明区,118.113856,24.491751,"118.113856,24.491751"
B0H2NLJ1DE,sm新生活广场2期,购物服务;商场;购物中心,060101,嘉禾路399号(乌石浦地铁站3A口旁),思明区,118.125020,24.499559,"118.125020,24.499559"
B0ID2702TE,塘边宝龙天地,购物服务;商场;购物中心,060101,嘉禾路(塘边地铁站4A口旁),湖里区,118.123318,24.506853,"118.123318,24.506853"
B0FFHIF15O,SM厦门三期,购物服务;商场;商场,060100,嘉禾路401号(乌石浦地铁站3B口步行160米),思明区,118.124685,24.501287,"118.124685,24.501287"
B0IR3UICYL,SM城市广场1期,购物服务;商场;商场,060100,江头北路与乌石浦路交叉口南120米,湖里区,118.126959,24.500960,"118.126959,24.500960"
B02500Q9VU,SM新生活广场(厦门思明店),购物服务;商场;购物中心,060101,嘉禾路399号,思明区,118.125018,24.499558,"118.125018,24.499558"
B0H2PUR227,sm乌石浦三里(SM城市广场店),购物服务;商场;商场,060100,嘉禾路468号SM城市广场厦门湖里店L1层,湖里区,118.126925,24.501925,"118.126925,24.501925"
B025003SQ4,SM百货(厦门店),购物服务;商场;普通商场|购物服务;家电电子卖场;手机销售|购物服务;个人用品/化妆品店;其它个人用品店,060102|060305|061400,嘉禾路468号SM城市广场一期一楼SM百货珠宝区,湖里区,118.126605,24.501032,"118.126605,24.501032"
B0I1UX2N19,蓝宝石(sm新生活广场2期店),购物服务;商场;购物中心,060101,嘉禾路399号SM新生活广场(厦门思明店)1F层,思明区,118.125368,24.500043,"118.125368,24.500043"
B025003MZA,SM城市广场(厦门湖里店),购物服务;商场;购物中心,060101,嘉禾路468号,湖里区,118.126101,24.500849,"118.126101,24.500849"
B0FFMCX7NH,MI(sm新生活广场二期店),购物服务;商场;商场,060100,嘉禾路468号SM城市广场F4,湖里区,118.127101,24.500781,"118.127101,24.500781"
B0L02ANFP9,厦门SM商业城,购物服务;商场;普通商场,060102,江头街道嘉禾路468号SM城市广场厦门湖里店L3层,湖里区,118.126925,24.501025,"118.126925,24.501025"
B0H0T7RB72,SM城市广场2(嘉禾路店),购物服务;商场;购物中心,060101,江头街道嘉禾路468号SM城市广场厦门湖里店2楼,湖里区,118.126594,24.500094,"118.126594,24.500094"
