id,name,type,typecode,address,adname,longitude,latitude,location
BX10028327,岭兜地铁站1B口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.173828,24.485257,"118.173828,24.485257"
BX10029538,岭兜地铁站1A口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.172788,24.484938,"118.172788,24.484938"
BX10028722,岭兜地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.174768,24.484389,"118.174768,24.484389"
BX10028326,岭兜地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.174487,24.483868,"118.174487,24.483868"
BX09909994,钟宅地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.173147,24.524576,"118.173147,24.524576"
BX09909995,钟宅地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.171949,24.524509,"118.171949,24.524509"
BX10028372,湿地公园地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.182016,24.5167,"118.182016,24.516700"
BX10032875,五缘湾地铁站10号口,交通设施服务;地铁站;出入口,150501,3号线,湖里区,118.168119,24.533249,"118.168119,24.533249"
BX10032696,五缘湾地铁站9号口,交通设施服务;地铁站;出入口,150501,3号线,湖里区,118.167495,24.533524,"118.167495,24.533524"
BX10028730,五缘湾地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.167715,24.532874,"118.167715,24.532874"
BX10028365,五缘湾地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.166696,24.533109,"118.166696,24.533109"
BX10028364,五缘湾地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.167763,24.531293,"118.167763,24.531293"
BX10032695,五缘湾地铁站7号口,交通设施服务;地铁站;出入口,150501,3号线,湖里区,118.166336,24.531678,"118.166336,24.531678"
BX10028366,五缘湾地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.165633,24.53315,"118.165633,24.533150"
BX09918425,五缘湾地铁站出入口,交通设施服务;地铁站;出入口,150501,3号线,湖里区,118.16629,24.532133,"118.166290,24.532133"
BX10032694,五缘湾地铁站8号口,交通设施服务;地铁站;出入口,150501,3号线,湖里区,118.166551,24.530862,"118.166551,24.530862"
BX10028377,何厝地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.192571,24.486012,"118.192571,24.486012"
BX10028376,何厝地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.191716,24.484875,"118.191716,24.484875"
BX10028739,何厝地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.192957,24.484741,"118.192957,24.484741"
BX10028324,观音山地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.19287,24.492196,"118.192870,24.492196"
BX10028720,观音山地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.192605,24.493332,"118.192605,24.493332"
BX10028325,观音山地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.193603,24.494168,"118.193603,24.494168"
BX10028350,软件园二期地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.186099,24.480584,"118.186099,24.480584"
BX10028348,软件园二期地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.184384,24.481082,"118.184384,24.481082"
BX10028349,软件园二期地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.184074,24.48053,"118.184074,24.480530"
BX10028346,两岸金融中心地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.19391,24.504509,"118.193910,24.504509"
BX10028347,两岸金融中心地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.193241,24.505879,"118.193241,24.505879"
BX10028735,东宅地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.193343,24.5001,"118.193343,24.500100"
BX10033134,两岸金融中心地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.194434,24.506419,"118.194434,24.506419"
BX10028736,东宅地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.192642,24.498464,"118.192642,24.498464"
BX10028373,东宅地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.192967,24.498461,"118.192967,24.498461"
BX10028733,湿地公园地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.18442,24.516249,"118.184420,24.516249"
BX10028734,湿地公园地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.184691,24.515592,"118.184691,24.515592"
BX10028304,五通地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.188539,24.512434,"118.188539,24.512434"
BX10028732,湿地公园地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.18363,24.516634,"118.183630,24.516634"
BX10028305,五通地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.190098,24.511693,"118.190098,24.511693"
BX09912059,湿地公园地铁站出入口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.182725,24.517359,"118.182725,24.517359"
